Block	Balance
3973420	0
3973421	0
3973422	0
3973423	0
3973424	0
3973425	0
3973426	0
3973427	631.5
3973428	631.5
3973429	631.5
3973430	631.5
3973431	1205.390574
3973432	3414.191361
3973433	3539.191361
3973434	3970.691351
3973435	4667.889158
3973436	4667.889158
3973437	5483.874049
3973438	5483.874049
3973439	5690.366149
3973440	5690.366149
3973441	5690.366149
3973442	5791.366149
3973443	5791.366149
3973444	6480.266149
3973445	6480.266149
3973446	6480.266149
3973447	7106.766149
3973448	8306.766149
3973449	8318.166149
3973450	8453.166149
3973451	8488.666149
3973452	8488.666149
3973453	8488.666149
3973454	8575.666149
3973455	8582.166149
3973456	8582.166149
3973457	8582.166149
3973458	10484.16301
3973459	10517.45067
3973460	10517.45067
3973461	10517.45067
3973462	10529.45067
3973463	12872.43967
3973464	12872.43967
3973465	12908.43967
3973466	12920.43967
3973467	12949.43967
3973468	12959.43967
3973469	13067.43967
3973470	13083.03967
3973471	13083.03967
3973472	13137.03967
3973473	13137.03967
3973474	13140.26967
3973475	13204.71079
3973476	14909.20079
3973477	14909.20079
3973478	15409.40079
3973479	15411.24318
3973480	15523.24318
3973481	15536.14318
3973482	15536.14318
3973483	15536.14318
3973484	15536.14318
3973485	15536.14318
3973486	15536.14318
3973487	15625.54318
3973488	15715.17318
3973489	15719.67318
3973490	16038.42898
3973491	16038.42898
3973492	16038.42898
3973493	16267.02898
3973494	16267.02898
3973495	16267.02898
3973496	16267.02898
3973497	16268.23814
3973498	16268.23814
3973499	16280.23814
3973500	16280.23814
3973501	16280.23814
3973502	16280.23814
3973503	16308.09814
3973504	16308.09814
3973505	16308.09814
3973506	16308.09814
3973507	16308.09814
3973508	16308.09814
3973509	16308.09814
3973510	16310.38051
3973511	16310.38051
3973512	16323.70051
3973513	16323.70051
3973514	16323.70051
3973515	16330.30051
3973516	16390.30051
3973517	16393.30051
3973518	16393.30051
3973519	16393.30051
3973520	16393.30051
3973521	16414.80051
3973522	16415.39051
3973523	16415.39051
3973524	16415.39051
3973525	16425.49051
3973526	16425.49051
3973527	16425.49051
3973528	16425.49051
3973529	16425.49051
3973530	16425.49051
3973531	16425.49051
3973532	16425.49051
3973533	16426.49051
3973534	16426.49051
3973535	16426.49051
3973536	16482.38526
3973537	16482.38526
