No	Investor	Tokens	TokenSubtotal
0	0xba231c0c546d6c227608cea6e62f62bcc4047ebe	10000	10000
1	0x2522272d5686bb83cb3ccf069a65995493a17528	94000	104000
2	0x2e2f2b688ec2fcb48742df66f436c5ec5aa425b3	5000	109000
3	0xb8a1825582b653a755b094b5e3dc2f697e79619d	119999.99999	228999.99999
4	0x0b5a91adc9a867501fd814cea2caba28f9770b63	240000	468999.99999
5	0x07ad11466475ad71aa89d7bc48bebfa4e1e162ee	4000	472999.99999
6	0x65654b1007e11dcf3f523355df1b51733b2ff894	4000	476999.99999
7	0xaa26266c24805082ebf4309d2ceeb76101a4abcf	24000	500999.99999
8	0xc7bff4d89f6adfb8c7677c08f4a5b14ed9ed46a4	12000	512999.99999
9	0x20ec8fe549cd5978bccc184efaee20027ed0c154	4000	516999.99999
10	0x88163c9b24ddf79ed2112e9fd17256540fd5c8cc	500	517499.99999
11	0x538d278e05a35c96bcdca1039e92c65b994256a0	192000	709499.99999
12	0x8c5645a50f39b5d1a6112000748b3581e8be7ad2	12000	721499.99999
13	0xe211e6babed235b2c09ed757e66d80559b215fca	12000	733499.99999
14	0x43b2126e7a22e0c288dfb469e3de4d2c097f3ca0	15100	748599.99999
15	0x00e4c343ef1b10399096bdc5bfe52b6095f2b5ab	7690.574298510856083	756290.574288510856083
16	0x33de66d2bdf094a9b75d09c36883694fe44bc383	6000	762290.574288510856083
17	0x0183218c7c8228c490800bea9ff8747f44a20929	2000	764290.574288510856083
18	0x9eb429cb38ad55553a6e83ccacd178c7fd27a26a	36000	800290.574288510856083
19	0x5bde64b9e62a41a61c2d1c3043a9f20a8905e888	83400	883690.574288510856083
20	0x3a1aa0a96632ad25c5b370aafce364eda27f6c6f	48000	931690.574288510856083
21	0xf46054694b937160f8a1b2c3b4c958e4e46c2f21	830000	1761690.574288510856083
22	0x0c2b0baea49687b64ff1cdbe82642bde3b50009a	36000	1797690.574288510856083
